ID_PRODUTO,UNIDADE,NIVEL 1,NIVEL 2,NIVEL 3,NIVEL 4
20831,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20831,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20831,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20832,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20832,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20832,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20832,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20832,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20832,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20832,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20832,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20832,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20832,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20833,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20833,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20833,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20833,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20834,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20834,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
20834,UN,ADULTO,FARMACIA,ACESSORIOS MEDICOS,ROUPA POS-CIRURGICA
